HOSPITAL_NAME,CITY_x,STATE_FULL_x,adult_gap_flag,peds_gap_flag,dual_trauma_flag,priority_score,CITY_y,STATE_FULL_y,LATITUDE,LONGITUDE,nearest_burn_center,nearest_burn_distance_miles,distance_score,HOSPITAL_NAME_burn_center,BURN_BEDS,capacity_score,final_priority_score
Cooper University Health Care,Camden,New Jersey,1,1,1,5,Camden,New Jersey,39.941225,-75.1163865,Thomas Jefferson University Hospital (Thomas Jefferson University Hospital Burn Center),2.275034086771432,0.0015892043719697635,Thomas Jefferson University Hospital (Thomas Jefferson University Hospital Burn Center),0.0,1.0,2.200635681748788
OSF St. Francis Medical Center/OSF Children's Hospital of Illinois	,Peoria,Illinois,1,1,1,5,Peoria,Illinois,40.7023663,-89.5899846,Memorial Medical Center (Regional Burn Center),61.847816410319695,0.04320322970437243,Memorial Medical Center (Regional Burn Center),8.0,0.9191919191919192,2.201119675720133
Dartmouth-Hitchcock Medical Center,Lebanon,New Hampshire,1,1,1,5,Lebanon,New Hampshire,43.6756843,-72.2701018,The University of Vermont Medical Center (University of Vermont Burn Center),72.04592956485011,0.050327028906001874,The University of Vermont Medical Center (University of Vermont Burn Center),9.0,0.9090909090909091,2.2019489933805825
Memorial Regional Hospital/Joe DiMaggio Children's Hospital,Hollywood,Florida,1,1,1,5,Hollywood,Florida,26.019349,-80.17892,Jackson Memorial Hospital (Miami Burn Center),15.86990847354804,0.011085780241962764,Jackson Memorial Hospital (Miami Burn Center),0.0,1.0,2.2044343120967853
Albany Medical Center,Albany,New York,1,1,1,5,Albany,New York,42.6532132,-73.7766789,Bridgeport Hospital (The Connecticut Burn Center),105.87357664525646,0.0739570241426548,Bridgeport Hospital (The Connecticut Burn Center),9.0,0.9090909090909091,2.2114009914752435
Baystate Medical Center,Springfield,Massachusetts,1,1,1,5,Springfield,Massachusetts,42.1215221,-72.6030062,Rhode Island Hospital/Hasbro Children's Hospital (Rhode Island Burn Center),64.98258076619952,0.0453929908373711,Rhode Island Hospital/Hasbro Children's Hospital (Rhode Island Burn Center),0.0,1.0,2.2181571963349485
Sanford USD Medical Center,Sioux Falls,South Dakota,1,1,1,5,Sioux Falls,South Dakota,43.5340005,-96.7431263,CHI Health St. Elizabeth Regional Burn Center,188.42551605306863,0.1316229306819526,CHI Health St. Elizabeth Regional Burn Center,16.0,0.8383838383838383,2.2203259399495487
Sanford Medical Center Fargo,Fargo,North Dakota,1,1,1,5,Fargo,North Dakota,46.8844903,-96.786242,Hennepin Healthcare/Hennepin Healthcare Children's Hospital (Hennepin Healthcare Burn Center),214.7733895734626,0.150027998119926,Hennepin Healthcare/Hennepin Healthcare Children's Hospital (Hennepin Healthcare Burn Center),17.0,0.8282828282828283,2.225667764904536
Alaska Native Medical Center,Anchorage,Alaska,1,1,1,5,Anchorage,Alaska,61.1827723,-149.8001772,UW Medicine/Harborview Medical Center (UW Medicine Regional Burn Center at Harborview),1430.846678216742,0.9995049348326158,UW Medicine/Harborview Medical Center (UW Medicine Regional Burn Center at Harborview),40.0,0.595959595959596,2.5189938931249656
Providence Alaska Medical Center/Children's Hospital at Providence,Anchorage,Alaska,1,1,1,5,Anchorage,Alaska,61.1871675,-149.8194391,UW Medicine/Harborview Medical Center (UW Medicine Regional Burn Center at Harborview),1431.5553914262182,1.0,UW Medicine/Harborview Medical Center (UW Medicine Regional Burn Center at Harborview),40.0,0.595959595959596,2.519191919191919
